title,decription
Can tourists buy cannabis in Thailand?,"Yes, but only with a prescription issued in Thailand by an authorized Thai medical professional. International prescriptions are not recognized."
Is it legal to smoke in a dispensary?,"No, unless the shop is a licensed medical clinic and the consumption is part of a supervised medical treatment plan conducted by a professional."
Can I carry cannabis across the border?,No. Importing or exporting cannabis products across the Thai border remains a criminal offence. This includes personal products brought from overseas.
Are edibles legal?,"Edibles are strictly regulated. Currently, food and drink must contain less than 0.2% THC. Wellness products like oils and snacks require specific FDA approval."
What happens if I am caught with cannabis without a prescription?,"Possession without a valid PT 33 form can lead to up to one year in prison or a 20,000 THB fine."
