name,description,label,link,hint,video
Explore Our Premium Cannabis Selection,"Whether you're looking for flowers, edibles, concentrates or gadgets, we have it for you.",Fill your bag,menu,Free delivery above 2000THB,https://www.youtube.com/embed/7FrEbdNYbI0
Contact And Provide Delivery Details,Contact us and share your delivery information to ensure quick and seamless service.,Talk to team,contact,Instant weed delivery in Phuket,
Make a payment and share your receipt,Use one of our payment provider and send us your payment receipt image in the chat.,Pay now,payment,Everyday day from 9am to 2am,
